1_0_1_26F_CC_1_3200000_0_0_0           |  ??? (+7)                                         |  26F_CC_1_3200000=--------                               |  plus7=--------
1_0_1_32A_CE_1_3200000_0_0_0           |  ??? (+7)                                         |  32A_CE_1_3200000=--------                               |  plus7=--------
1_0_1_3D8_D0_1_3200000_0_0_0           |  ??? (+7)                                         |  3D8_D0_1_3200000=--------                               |  plus7=--------
1_0_1_1A1_CA_1_3200000_0_0_0           |  ??? (????????????)                               |  1A1_CA_1_3200000=--------                               |  --------=--------
1_0_1_3CF_D0_1_3200000_0_0_0           |  ??? +4                                           |  3CF_D0_1_3200000=--------                               |  plus4=--------
1_0_16_72_251C_D5_820000_0_0_0         |  ??? 2                                            |  72_251C_D5_820000=bnt2                                  |  2=--------
1_0_1_2D6_CD_1_3200000_0_0_0           |  ??? 24                                           |  2D6_CD_1_3200000=--------                               |  24=24
1_0_1_2DB_3_0_208B05C_0_0_0            |  ??? 24                                           |  2DB_3_0_208B05C=--------                                |  24=24
1_0_1_DC_66_1_3200000_0_0_0            |  ??? 24                                           |  DC_66_1_3200000=--------                                |  24=24
1_0_19_138_2648_D5_820000_0_0_0        |  ??? 3 HD                                         |  138_2648_D5_820000=bnt3                                 |  3hd=channel3thailandhd
1_0_1_1A9_CA_1_3200000_0_0_0           |  ??? 49 (???????????)                             |  1A9_CA_1_3200000=--------                               |  49=--------
1_0_1_27B_2_0_208B035_0_0_0            |  ??? ??                                           |  27B_2_0_208B035=--------                                |  --------=--------
1_0_1_38B_CF_1_3200000_0_0_0           |  ??? ??                                           |  38B_CF_1_3200000=--------                               |  --------=--------
1_0_1_D3_66_1_3200000_0_0_0            |  ??? ??                                           |  D3_66_1_3200000=--------                                |  --------=--------
1_0_1_1F8_1_0_208AFC2_0_0_0            |  ??? ???                                          |  1F8_1_0_208AFC2=--------                                |  --------=--------
1_0_1_38C_CF_1_3200000_0_0_0           |  ??? ???                                          |  38C_CF_1_3200000=--------                               |  --------=--------
1_0_1_39C_5_0_2082A87_0_0_0            |  ??? ???                                          |  39C_5_0_2082A87=--------                                |  --------=--------
1_0_16_139B_2710_D5_820000_0_0_0       |  ??? ????                                         |  139B_2710_D5_820000=fenfolk                             |  --------=--------
1_0_16_1FC_CB_1_3200000_0_0_0          |  ??? ????                                         |  1FC_CB_1_3200000=--------                               |  --------=--------
1_0_1_2C8_3_0_208B05C_0_0_0            |  ??? ????                                         |  2C8_3_0_208B05C=--------                                |  --------=--------
1_0_1_2D5_CD_1_3200000_0_0_0           |  ??? ????                                         |  2D5_CD_1_3200000=--------                               |  --------=--------
1_0_19_2C9_3_0_208B05C_0_0_0           |  ??? ???? ???????                                 |  2C9_3_0_208B05C=--------                                |  --------=--------
1_0_16_1F7_CB_1_3200000_0_0_0          |  ??? ?????                                        |  1F7_CB_1_3200000=--------                               |  --------=--------
1_0_1_193_CA_1_3200000_0_0_0           |  ??? ?????                                        |  193_CA_1_3200000=--------                               |  --------=--------
1_0_1_194_CA_1_3200000_0_0_0           |  ??? ?????                                        |  194_CA_1_3200000=--------                               |  --------=--------
1_0_1_195_CA_1_3200000_0_0_0           |  ??? ??????                                       |  195_CA_1_3200000=--------                               |  --------=--------
1_0_1_1F6_1_0_208AFC2_0_0_0            |  ??? ???????                                      |  1F6_1_0_208AFC2=--------                                |  --------=--------
1_0_1_213_CB_1_3200000_0_0_0           |  ??? ???????                                      |  213_CB_1_3200000=--------                               |  --------=--------
1_0_1_25A_CC_1_3200000_0_0_0           |  ??? ???????                                      |  25A_CC_1_3200000=--------                               |  --------=--------
1_0_1_2CD_3_0_208B05C_0_0_0            |  ??? ???????                                      |  2CD_3_0_208B05C=--------                                |  --------=--------
1_0_1_330_4_0_2082A5D_0_0_0            |  ??? ???????                                      |  330_4_0_2082A5D=--------                                |  --------=--------
