1_0_0_1_0_0_463159_0_0_0               |                                                   |  1_0_0_463159=simayazadiirannationaltv                   |  =--------
1_0_1_300_7_85_C00000_0_0_0            |  .                                                |  300_7_85_C00000=--------                                |  .=cero
1_0_1_3070_3F5_1_C00000_0_0_0          |  .                                                |  3070_3F5_1_C00000=--------                              |  .=cero
1_0_1_35_7_85_C00000_0_0_0             |  .                                                |  35_7_85_C00000=--------                                 |  .=cero
1_0_1_38_F_85_C00000_0_0_0             |  .                                                |  38_F_85_C00000=--------                                 |  .=cero
1_0_1_3B_F_85_C00000_0_0_0             |  .                                                |  3B_F_85_C00000=--------                                 |  .=cero
1_0_1_3C_7_85_C00000_0_0_0             |  .                                                |  3C_7_85_C00000=--------                                 |  .=cero
1_0_1_3D_7_85_C00000_0_0_0             |  .                                                |  3D_7_85_C00000=--------                                 |  .=cero
1_0_1_46_7_85_C00000_0_0_0             |  .                                                |  46_7_85_C00000=--------                                 |  .=cero
1_0_1_48_7_85_C00000_0_0_0             |  .                                                |  48_7_85_C00000=--------                                 |  .=cero
1_0_2_AB_5_85_C00000_0_0_0             |  .                                                |  AB_5_85_C00000=--------                                 |  .=cero
1_0_2_AE_5_85_C00000_0_0_0             |  .                                                |  AE_5_85_C00000=--------                                 |  .=cero
1_0_2_AF_5_85_C00000_0_0_0             |  .                                                |  AF_5_85_C00000=--------                                 |  .=cero
1_0_C9_239D_44A_1_C00000_0_0_0         |  .                                                |  239D_44A_1_C00000=--------                              |  .=cero
1_0_19_132_4F4C_55F_DDE0000_0_0_0      |  ...                                              |  132_4F4C_55F_DDE0000=--------                           |  ...=112ukraina
1_0_19_133_4F4C_55F_DDE0000_0_0_0      |  ...                                              |  133_4F4C_55F_DDE0000=--------                           |  ...=112ukraina
1_0_1_126E_3F7_1_C00000_0_0_0          |  .1.                                              |  126E_3F7_1_C00000=--------                              |  .1.=112ukraina
1_0_16_17EF_C_55_300000_0_0_0          |  .2+2 Marafon                                     |  17EF_C_55_300000=--------                               |  .2+2 marafon=2plus2marathon
1_0_1_126F_3F7_1_C00000_0_0_0          |  .2.                                              |  126F_3F7_1_C00000=--------                              |  .2.=324
1_0_1_1270_3F7_1_C00000_0_0_0          |  .3.                                              |  1270_3F7_1_C00000=--------                              |  .3.=radio538
1_0_1_1271_3F7_1_C00000_0_0_0          |  .4.                                              |  1271_3F7_1_C00000=--------                              |  .4.=b4umovies
1_0_16_268_20A_73_2080000_0_0_0        |  .Black                                           |  268_20A_73_2080000=--------                             |  .black=--------
1_0_1_D7_66_1_3200000_0_0_0            |  .Black                                           |  D7_66_1_3200000=--------                                |  .black=--------
1_0_1_D5_66_1_3200000_0_0_0            |  .Red                                             |  D5_66_1_3200000=--------                                |  .red=redtv
