1_0_16_6_1_1F90_CB70000_0_0_0           |  BELEDOUGOU TV                                    |  6_1_1F90_CB70000=--------                               |  beledougoutv=beledougoutv
1_0_1_1B60_17_6E_DCA0000_0_0_0          |  BELQEES                                          |  1B60_17_6E_DCA0000=--------                             |  belqees=belqeestv
1_0_1_CA66_7B0E_42E_1A40000_0_0_0       |  BENGU TURK HD                                    |  CA66_7B0E_42E_1A40000=--------                          |  benguturkhd=--------
1_0_1_C420_A4D9_42E_1A40000_0_0_0       |  BERAT TV                                         |  C420_A4D9_42E_1A40000=--------                          |  berattv=berattv
1_0_1_1F60_12_6E_DCA0000_0_0_0          |  BERBERE TV                                       |  1F60_12_6E_DCA0000=--------                             |  berberetv=berberetelevision
1_0_16_7D5_20E1_217C_5A0000_0_0_0       |  BERGAMO TV                                       |  7D5_20E1_217C_5A0000=--------                           |  bergamotv=--------
1_0_1_A8_65_1_300000_0_0_0              |  BETFRED SIS - CISCO 1                            |  A8_65_1_300000=--------                                 |  betfredsiscisco1=sisone
1_0_1_31_65_1_300000_0_0_0              |  BETFRED TOTE 2 - CISCO 1                         |  31_65_1_300000=--------                                 |  betfredtote2cisco1=sisone
1_0_19_206F_432_1_C00000_0_0_0          |  BFM BUSINESS                                     |  206F_432_1_C00000=--------                              |  bfmbusiness=bfmbusiness
1_0_19_203_2_20FA_DDE0000_0_0_0         |  BFM TV                                           |  203_2_20FA_DDE0000=--------                             |  bfmtv=bfmtv
1_0_19_206D_432_1_C00000_0_0_0          |  BFM TV                                           |  206D_432_1_C00000=--------                              |  bfmtv=bfmtv
1_0_19_BC4_4E84_55F_DDE0000_0_0_0       |  BFM TV                                           |  BC4_4E84_55F_DDE0000=--------                           |  bfmtv=bfmtv
1_0_1_19F_26AC_13F_820000_0_0_0         |  BFM TV                                           |  19F_26AC_13F_820000=--------                            |  bfmtv=bfmtv
1_0_1_139C_2710_D5_820000_0_0_0         |  BG Music Channel                                 |  139C_2710_D5_820000=--------                            |  bgmusicchannel=bgmusicchannel
1_0_1_139C_6_D5_1C20000_0_0_0           |  BG Music Channel                                 |  139C_6_D5_1C20000=--------                              |  bgmusicchannel=bgmusicchannel
1_0_1_74_E_3_130000_0_0_0               |  BG Music Channel                                 |  74_E_3_130000=--------                                  |  bgmusicchannel=bgmusicchannel
1_0_1F_DE_B2_39E_1860000_0_0_0          |  BG on Air HD                                     |  DE_B2_39E_1860000=--------                              |  bgonairhd=bulgariaonair
1_0_1F_47D_B11_39E_1860000_0_0_0        |  BG+                                              |  47D_B11_39E_1860000=--------                            |  bgplus=bgplus
1_0_1_55_6_1_1860000_0_0_0              |  BG+                                              |  55_6_1_1860000=--------                                 |  bgplus=bgplus
1_0_1_258_1A_3_130000_0_0_0             |  BG+ HD                                           |  258_1A_3_130000=--------                                |  bgplushd=bgplus
1_0_1_357_C3B4_16E_A00000_0_0_0         |  BHT 1                                            |  357_C3B4_16E_A00000=--------                            |  bht1=bht1
1_0_1F_FA_B2_39E_1860000_0_0_0          |  BHTV                                             |  FA_B2_39E_1860000=--------                              |  bhtv=bulgarskakhristiyanskatv
1_0_1_17D_3_1_1860000_0_0_0             |  BHTV                                             |  17D_3_1_1860000=--------                                |  bhtv=bulgarskakhristiyanskatv
1_0_1_1BC_A_2_130000_0_0_0              |  BHTV                                             |  1BC_A_2_130000=--------                                 |  bhtv=bulgarskakhristiyanskatv
1_0_1_2B_3_D5_1C20000_0_0_0             |  BHTV                                             |  2B_3_D5_1C20000=--------                                |  bhtv=bulgarskakhristiyanskatv
1_0_1_4E90_C86_3_EB0000_0_0_0           |  BHTV                                             |  4E90_C86_3_EB0000=bht1                                  |  bhtv=bulgarskakhristiyanskatv
1_0_1_3EA_7_16E_A00000_0_0_0            |  BIGG TV                                          |  3EA_7_16E_A00000=--------                               |  biggtv=bigg
1_0_16_3C_204_1D_5A0000_0_0_0           |  BIKE                                             |  3C_204_1D_5A0000=--------                               |  bike=bikechannel
1_0_1_392D_A21D_42E_1A40000_0_0_0       |  BIR TV                                           |  392D_A21D_42E_1A40000=--------                          |  birtv=--------
